FraudFound_P,Month,DayOfWeek,Make,AccidentArea,Sex,MaritalStatus,Age,PolicyType,VehiclePrice,Deductible,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
0,9,3,6,1,1,2,-2.9540384395550423,0,5,-0.17529818073082784,2,1,7,0,0,0,0,3,3,0,0
0,3,1,17,1,1,1,-1.0269618562472156,2,0,-0.17529818073082784,2,1,5,4,0,0,0,2,2,1,2
0,2,0,13,1,1,2,0.6036414065517144,1,0,-0.17529818073082784,2,3,5,6,0,0,0,3,3,0,1
0,2,0,9,1,1,2,-0.6563702056110952,0,0,-0.17529818073082784,2,3,5,4,0,0,0,3,3,0,0
0,7,0,11,1,1,2,0.01069476553392166,1,5,-0.17529818073082784,2,0,5,5,0,0,0,2,3,0,1
0,1,4,9,1,1,1,1.863653018714524,2,1,-0.17529818073082784,2,1,6,7,0,0,0,2,3,0,2
0,4,3,17,1,1,1,1.7895346885873,1,0,-0.17529818073082784,2,0,6,7,0,0,0,3,3,0,1
0,4,3,6,1,1,1,1.122469717442283,2,0,-0.17529818073082784,2,1,5,6,0,0,0,2,3,0,2
0,4,3,6,1,1,2,0.30716808604281803,1,0,-0.17529818073082784,2,1,5,5,0,0,0,1,3,0,1
0,4,5,9,1,1,1,-0.9528435261199916,1,0,-0.17529818073082784,2,0,4,4,0,0,0,0,3,0,1
0,11,4,2,1,0,2,-0.8787251959927674,1,0,-0.17529818073082784,2,0,3,4,0,0,0,3,3,0,1
0,4,1,6,1,1,1,0.5295230764244904,1,0,-0.17529818073082784,2,0,6,6,0,0,0,2,3,0,1
0,0,2,9,1,1,1,1.4930613680784035,1,5,-0.17529818073082784,2,2,5,7,0,0,0,2,3,0,1
0,1,2,5,1,1,1,-0.508133545356647,1,1,-0.17529818073082784,2,2,4,4,0,0,0,3,3,0,1
0,10,5,2,1,1,1,-0.9528435261199916,0,0,-0.17529818073082784,2,3,4,4,0,0,0,3,3,0,0
0,3,0,6,1,0,1,0.5295230764244904,4,5,-0.17529818073082784,2,3,6,6,0,0,0,3,3,0,1
0,3,0,7,0,0,2,-0.8046068658655434,2,1,-0.17529818073082784,2,1,3,4,0,0,0,1,3,0,2
0,3,2,17,1,0,1,-0.508133545356647,1,1,-0.17529818073082784,2,1,5,4,0,0,0,2,3,0,1
0,4,6,13,1,1,1,-0.13754189472052653,2,0,-0.17529818073082784,2,1,4,5,0,0,0,3,3,0,2
0,4,4,9,1,1,2,-0.21166022484775063,2,0,-0.17529818073082784,2,0,5,5,0,0,0,3,3,0,2
0,2,0,2,1,1,1,-0.28577855497497473,0,5,-0.17529818073082784,2,3,5,5,0,0,0,3,3,2,0
0,9,5,17,1,0,1,0.30716808604281803,2,0,-0.17529818073082784,2,3,4,5,0,0,0,0,3,0,2
0,2,6,6,1,1,2,-2.9540384395550423,2,5,-0.17529818073082784,2,2,7,0,0,0,0,3,2,1,2
0,2,5,2,0,1,1,-0.9528435261199916,8,5,-0.17529818073082784,2,0,4,4,0,0,0,2,3,0,2
0,8,5,17,1,1,2,-0.9528435261199916,1,0,-0.17529818073082784,2,0,4,4,0,0,0,2,3,0,1
0,8,3,9,1,1,2,-0.06342356459330244,0,0,-0.17529818073082784,2,1,2,5,0,0,0,2,3,0,0
0,10,2,13,1,1,1,2.5307179898595407,0,1,-0.17529818073082784,2,3,5,8,0,0,0,1,3,0,0
0,10,3,6,1,1,2,-1.249316846628888,2,0,-0.17529818073082784,2,1,2,3,0,0,0,3,3,0,2
0,10,3,6,1,0,2,-1.1010801863744397,4,5,-0.17529818073082784,2,3,4,3,0,0,0,2,3,0,1
0,4,6,13,1,1,2,-0.13754189472052653,2,0,-0.17529818073082784,2,2,5,5,0,0,0,1,0,0,2
0,4,4,6,1,1,1,0.08481309566114575,0,1,-0.17529818073082784,2,1,5,5,0,0,0,3,3,0,0
0,1,2,13,1,1,1,-0.13754189472052653,1,0,6.65070673560594,2,1,5,5,0,0,0,2,3,0,1
1,9,4,6,1,1,2,-0.43401521522942293,4,5,-0.17529818073082784,2,3,5,4,0,0,0,1,3,0,1
0,8,5,6,1,1,1,1.5671796982056276,1,1,-0.17529818073082784,2,3,6,7,0,0,0,2,3,0,1
1,9,0,17,1,1,1,-0.13754189472052653,1,0,-0.17529818073082784,2,0,5,5,0,0,0,3,3,0,1
0,4,4,17,1,1,2,0.01069476553392166,0,4,-0.17529818073082784,2,0,5,5,0,0,0,3,3,0,0
0,9,1,13,1,1,1,0.08481309566114575,0,0,-0.17529818073082784,2,1,5,5,0,0,0,3,3,0,0
0,4,0,13,1,1,1,-0.28577855497497473,0,0,-0.17529818073082784,2,0,5,5,0,0,0,3,3,0,0
1,9,5,2,1,1,1,-0.6563702056110952,6,5,-0.17529818073082784,2,2,5,4,0,0,0,2,3,0,0
0,4,2,13,1,0,1,-0.3598968851021988,0,0,-0.17529818073082784,2,0,4,4,0,0,0,3,3,0,0
0,4,0,5,1,0,1,-0.21166022484775063,0,5,2.100036791381428,2,1,4,5,1,0,0,1,3,0,0
0,4,4,9,1,1,1,1.122469717442283,0,0,-0.17529818073082784,2,3,6,6,0,0,0,2,3,0,0
0,4,5,13,1,1,2,-0.6563702056110952,0,0,-0.17529818073082784,2,1,5,4,0,0,0,0,3,0,0
0,2,0,3,1,1,1,-0.8787251959927674,2,5,-0.17529818073082784,2,3,5,4,0,0,0,0,2,1,2
0,1,1,9,1,1,1,-0.8787251959927674,1,0,-0.17529818073082784,2,1,5,4,0,0,0,3,3,0,1
0,9,3,13,1,1,1,0.30716808604281803,0,0,-0.17529818073082784,2,3,5,5,0,0,0,3,3,0,0
0,6,4,2,1,1,1,0.5295230764244904,0,0,-0.17529818073082784,2,0,6,6,0,0,0,3,3,0,0
0,7,4,6,1,1,1,0.01069476553392166,2,0,-0.17529818073082784,2,3,4,5,0,0,0,3,3,0,2
0,8,5,17,1,1,2,-1.249316846628888,1,0,-0.17529818073082784,2,1,3,3,0,0,0,3,3,0,1
0,8,1,13,1,1,2,-0.6563702056110952,0,0,-0.17529818073082784,2,1,4,4,0,0,0,3,3,0,0
0,9,4,6,1,1,1,-0.3598968851021988,0,0,-0.17529818073082784,2,3,4,4,0,0,0,3,3,0,0
1,9,4,0,0,1,1,1.1965880475695072,6,5,-0.17529818073082784,2,3,6,7,0,0,0,3,3,0,0
0,2,1,2,1,1,1,0.7518780668061626,1,0,-0.17529818073082784,2,0,6,6,0,0,0,2,3,0,1
0,2,5,6,1,1,2,-1.7681451575194567,4,5,-0.17529818073082784,2,1,2,1,0,0,0,1,3,0,1
0,9,5,13,1,1,1,-0.5822518754838711,1,1,-0.17529818073082784,2,0,5,4,0,1,0,2,3,0,1
0,1,1,13,1,1,2,-0.8787251959927674,2,0,-0.17529818073082784,2,1,4,4,0,0,0,1,3,0,2
1,9,1,9,1,1,2,2.0860080090961963,0,0,-0.17529818073082784,2,1,3,8,0,0,0,3,3,0,0
1,2,0,6,0,1,2,-2.9540384395550423,0,5,-0.17529818073082784,2,3,7,0,0,0,0,3,3,0,0
0,3,0,6,0,1,2,-2.9540384395550423,0,5,-0.17529818073082784,2,3,7,0,0,0,0,3,3,0,0
0,10,6,6,0,0,1,-1.6199084972650084,4,5,-0.17529818073082784,2,3,0,2,0,0,0,0,3,0,1
0,6,1,13,1,1,2,-0.7304885357383193,1,5,-0.17529818073082784,2,2,4,4,0,0,0,0,3,0,1
0,0,5,6,1,1,1,0.8259963969333867,1,0,-0.17529818073082784,2,2,6,6,0,0,0,3,3,2,1
0,3,3,17,1,1,2,-1.323435176756112,0,1,-0.17529818073082784,2,3,4,3,0,0,0,1,3,0,0
0,3,2,13,1,0,1,-1.0269618562472156,2,0,-0.17529818073082784,2,1,5,4,0,0,0,2,3,0,2
0,4,2,3,1,1,1,0.9742330571878349,1,1,-0.17529818073082784,2,3,6,6,1,0,0,3,2,1,1
0,4,3,9,1,1,1,-0.13754189472052653,2,1,-0.17529818073082784,2,1,5,5,0,0,0,2,3,0,2
0,4,3,2,0,1,1,-0.9528435261199916,2,1,-0.17529818073082784,2,2,4,4,0,1,0,3,3,0,2
0,9,1,6,1,1,2,-0.8046068658655434,1,0,-0.17529818073082784,2,1,5,4,0,0,0,1,3,0,1
0,5,0,13,1,1,2,-0.5822518754838711,1,0,-0.17529818073082784,2,2,3,4,0,0,0,2,3,0,1
0,0,4,6,1,1,2,-1.6199084972650084,1,0,-0.17529818073082784,2,3,1,2,0,0,0,2,3,0,1
0,10,4,13,1,1,1,1.4930613680784035,1,0,-0.17529818073082784,2,1,6,7,0,0,0,0,3,0,1
0,10,0,5,1,1,1,0.9742330571878349,1,5,-0.17529818073082784,2,3,6,6,0,0,0,2,3,0,1
0,0,5,6,1,1,2,-0.8046068658655434,1,0,-0.17529818073082784,2,0,4,4,0,0,0,0,3,0,1
0,7,3,13,1,1,1,-0.8046068658655434,1,0,-0.17529818073082784,2,0,5,4,0,0,0,2,3,0,1
0,7,1,17,1,1,1,0.08481309566114575,1,0,-0.17529818073082784,2,0,5,5,0,0,0,2,3,0,1
0,3,1,17,1,1,1,-0.8046068658655434,0,0,-0.17529818073082784,2,3,5,4,0,0,0,2,3,0,0
0,2,6,11,1,1,1,0.15893142578836986,0,0,-0.17529818073082784,2,2,5,5,0,0,0,3,3,0,0
0,10,0,17,1,1,1,-0.43401521522942293,0,4,-0.17529818073082784,2,3,5,4,0,0,0,0,3,0,0
0,5,1,6,1,1,1,0.8259963969333867,4,5,-0.17529818073082784,2,0,6,6,0,0,0,1,3,0,1
0,6,1,13,1,1,1,-0.5822518754838711,0,0,-0.17529818073082784,2,0,4,4,0,0,0,1,3,0,0
0,3,1,2,1,1,1,0.9001147270606108,2,0,-0.17529818073082784,2,3,6,6,0,0,1,1,3,3,2
0,3,4,17,1,1,1,1.5671796982056276,1,0,-0.17529818073082784,2,1,6,7,0,0,0,3,3,0,1
0,3,6,17,0,1,2,-1.1010801863744397,2,0,-0.17529818073082784,2,1,3,3,0,0,0,1,3,0,2
0,9,4,9,1,1,1,0.08481309566114575,0,1,-0.17529818073082784,2,3,5,5,0,0,0,3,3,0,0
0,11,2,9,1,1,2,-0.508133545356647,2,1,-0.17529818073082784,2,3,4,4,0,0,0,3,3,0,2
1,2,1,17,0,1,1,-0.06342356459330244,0,1,-0.17529818073082784,2,3,6,5,0,0,0,2,4,1,0
0,6,5,0,1,1,2,-0.7304885357383193,1,1,-0.17529818073082784,2,3,4,4,0,0,0,3,3,0,1
0,8,1,9,1,1,3,0.7518780668061626,1,0,-0.17529818073082784,2,3,6,6,0,0,0,3,3,0,1
0,4,1,13,1,0,1,-0.6563702056110952,1,0,-0.17529818073082784,2,1,5,4,0,0,0,2,3,0,1
0,4,5,13,1,1,2,-1.249316846628888,2,1,-0.17529818073082784,2,2,3,3,0,0,0,1,3,0,2
0,4,5,13,1,1,2,-0.6563702056110952,2,1,-0.17529818073082784,2,0,5,4,0,0,0,0,3,0,2
0,11,5,6,1,1,1,0.7518780668061626,0,0,2.100036791381428,2,1,5,6,0,0,0,2,1,0,0
0,4,2,6,1,0,2,-0.508133545356647,2,0,-0.17529818073082784,2,1,4,4,0,0,0,3,3,0,2
0,4,3,0,1,1,1,-0.7304885357383193,2,1,-0.17529818073082784,2,2,4,4,0,0,0,1,3,0,2
0,4,1,9,1,1,1,0.30716808604281803,1,2,-0.17529818073082784,2,2,6,5,0,0,0,3,3,0,1
0,4,6,2,1,1,1,0.45540474629726624,0,5,-0.17529818073082784,2,0,5,6,0,0,0,2,3,0,0
0,4,2,6,1,1,2,-0.6563702056110952,2,0,-0.17529818073082784,2,1,4,4,0,0,0,1,3,0,2
0,4,0,6,1,1,1,0.6036414065517144,2,0,-0.17529818073082784,2,1,6,6,0,0,0,3,3,0,2
1,2,0,2,1,1,1,-0.508133545356647,0,5,-0.17529818073082784,2,3,4,4,0,0,0,3,3,0,0
0,4,5,6,1,1,2,-2.9540384395550423,2,5,-0.17529818073082784,2,1,7,0,0,0,0,3,3,0,2
0,4,0,2,1,0,2,-0.21166022484775063,2,5,-0.17529818073082784,2,0,5,5,0,0,0,0,3,0,2
0,4,0,17,1,1,1,0.23304975591559393,0,4,-0.17529818073082784,2,3,5,5,0,0,0,3,3,0,0
0,4,6,17,1,0,1,-0.5822518754838711,1,1,-0.17529818073082784,2,2,2,4,0,0,0,0,3,2,1
0,4,4,17,1,1,1,1.2707063776967313,2,0,-0.17529818073082784,2,1,6,7,0,0,0,1,3,0,2
0,4,0,6,1,1,1,1.863653018714524,0,0,-0.17529818073082784,2,0,6,7,0,0,0,3,3,0,0
0,10,2,17,1,0,2,-0.9528435261199916,1,0,-0.17529818073082784,2,3,4,4,0,0,0,0,3,0,1
0,8,0,12,0,1,1,0.15893142578836986,6,5,-0.17529818073082784,2,1,6,5,0,0,0,3,2,1,0
0,8,4,6,1,1,1,1.2707063776967313,2,0,-0.17529818073082784,2,1,6,7,0,0,0,2,3,0,2
0,7,0,13,1,1,2,-0.5822518754838711,0,0,-0.17529818073082784,2,3,5,4,0,0,0,2,3,0,0
0,7,2,9,1,1,2,-0.8046068658655434,2,0,-0.17529818073082784,2,1,5,4,0,0,0,2,3,0,2
0,3,1,18,1,1,1,-0.28577855497497473,1,1,-0.17529818073082784,2,3,5,5,0,0,0,3,3,0,1
0,3,1,17,1,1,2,-0.8787251959927674,2,1,-0.17529818073082784,2,1,4,4,0,0,0,0,3,0,2
0,3,1,6,1,0,2,-0.5822518754838711,0,4,-0.17529818073082784,2,0,4,4,0,0,0,0,3,0,0
0,3,3,2,1,1,2,-0.508133545356647,0,0,-0.17529818073082784,2,3,4,4,0,0,0,3,3,0,0
0,3,5,15,1,1,1,-0.21166022484775063,0,1,-0.17529818073082784,2,1,6,5,0,0,0,1,3,0,0
0,4,5,6,1,0,2,-1.0269618562472156,2,0,-0.17529818073082784,2,2,4,4,0,0,0,2,3,0,2
0,4,3,2,1,1,1,0.9742330571878349,0,0,-0.17529818073082784,2,0,6,6,0,0,0,0,3,0,0
0,4,2,11,0,1,1,0.9742330571878349,0,0,-0.17529818073082784,2,0,6,6,0,0,0,3,3,0,0
0,4,1,5,1,1,1,2.5307179898595407,0,4,-0.17529818073082784,2,1,6,8,0,0,0,0,3,0,0
0,6,5,13,1,1,1,0.7518780668061626,1,0,-0.17529818073082784,2,0,5,6,0,0,0,3,3,0,1
0,6,4,9,1,1,2,-0.9528435261199916,0,0,-0.17529818073082784,2,3,4,4,0,0,0,3,0,0,0
0,2,3,17,1,1,1,0.6036414065517144,0,0,-0.17529818073082784,2,2,6,6,0,0,0,2,3,0,0
0,4,3,2,1,0,2,1.122469717442283,0,0,-0.17529818073082784,2,3,5,6,0,0,0,1,3,0,0
0,4,3,13,1,1,1,0.6036414065517144,0,0,-0.17529818073082784,2,3,6,6,0,0,0,2,3,0,0
0,4,1,6,1,1,2,-2.9540384395550423,2,5,-0.17529818073082784,2,1,7,0,0,0,0,3,3,0,2
0,2,4,13,1,1,1,1.048351387315059,2,0,-0.17529818073082784,2,0,5,6,0,0,0,3,3,0,2
0,4,2,2,1,1,1,-0.28577855497497473,2,1,-0.17529818073082784,2,2,5,5,0,0,0,2,3,0,2
1,2,1,9,1,1,1,0.23304975591559393,0,1,-0.17529818073082784,2,1,6,5,0,0,0,3,2,1,0
0,2,0,9,1,1,1,0.08481309566114575,1,1,-0.17529818073082784,2,3,6,5,0,0,0,1,3,0,1
0,3,5,17,1,1,1,0.6036414065517144,0,0,-0.17529818073082784,2,1,6,6,0,0,0,1,3,0,0
1,2,5,2,1,1,1,-1.0269618562472156,6,5,-0.17529818073082784,2,3,4,4,0,0,0,0,3,0,0
0,3,3,17,1,0,1,0.23304975591559393,0,0,-0.17529818073082784,2,3,4,5,0,0,0,3,3,0,0
1,2,4,6,1,1,1,-0.06342356459330244,4,5,-0.17529818073082784,2,3,6,5,0,0,0,3,3,0,1
0,3,0,2,1,1,1,0.6777597366789385,1,1,-0.17529818073082784,2,0,6,6,0,0,0,2,3,0,1
0,3,2,6,1,1,1,-0.21166022484775063,1,1,-0.17529818073082784,2,1,5,5,0,0,0,3,3,0,1
0,1,6,9,1,1,1,-0.28577855497497473,1,0,-0.17529818073082784,2,1,5,5,0,0,0,2,3,0,1
0,7,3,13,1,0,1,0.9001147270606108,0,0,-0.17529818073082784,2,1,4,6,0,0,0,2,3,0,0
0,2,2,13,1,1,1,-0.8046068658655434,0,4,-0.17529818073082784,2,3,4,4,0,0,0,0,3,0,0
0,2,0,9,1,1,1,-0.13754189472052653,1,0,-0.17529818073082784,2,3,6,5,0,0,0,3,3,0,1
0,2,1,9,1,1,2,-0.43401521522942293,1,0,-0.17529818073082784,2,0,4,4,0,0,0,3,3,0,1
0,2,1,6,0,1,2,-2.9540384395550423,1,5,-0.17529818073082784,2,1,7,0,0,0,0,3,3,0,1
0,11,1,6,0,1,1,0.08481309566114575,2,1,-0.17529818073082784,2,3,5,5,0,0,0,3,3,0,2
1,2,0,13,1,1,1,0.08481309566114575,0,4,2.100036791381428,2,1,5,5,0,0,0,3,1,0,0
0,0,2,13,1,1,1,1.7895346885873,1,0,-0.17529818073082784,2,0,6,7,0,0,0,3,3,2,1
1,2,2,13,1,1,1,-0.9528435261199916,1,5,-0.17529818073082784,2,1,2,4,0,0,0,0,3,0,1
0,11,0,9,1,1,2,-1.1010801863744397,1,5,-0.17529818073082784,2,1,3,3,0,0,0,1,3,0,1
0,10,2,17,1,1,2,-1.3975535068833362,1,0,-0.17529818073082784,2,0,3,3,0,0,0,3,3,0,1
0,2,5,13,0,1,1,-0.6563702056110952,0,4,-0.17529818073082784,2,3,4,4,0,0,0,3,3,0,0
0,0,1,13,1,1,2,-0.06342356459330244,1,0,-0.17529818073082784,2,3,6,5,0,0,0,2,2,1,1
0,3,6,6,0,0,1,-0.21166022484775063,0,4,-0.17529818073082784,2,3,3,5,0,0,0,1,3,0,0
0,3,1,0,1,1,1,0.08481309566114575,1,0,-0.17529818073082784,2,2,5,5,0,0,0,0,3,0,1
0,1,4,13,1,1,1,-0.21166022484775063,0,0,-0.17529818073082784,2,3,5,5,0,0,0,0,3,0,0
0,6,2,9,0,1,1,-0.8787251959927674,1,1,-0.17529818073082784,2,1,5,4,0,0,0,1,3,0,1
0,6,0,2,1,1,1,1.2707063776967313,1,0,-0.17529818073082784,2,3,6,7,0,0,0,2,3,0,1
0,6,0,17,1,1,1,1.5671796982056276,1,0,-0.17529818073082784,2,3,6,7,1,0,0,3,3,0,1
0,4,5,9,1,1,1,2.1601263392234205,2,0,6.65070673560594,2,2,6,8,0,0,0,0,3,0,2
0,4,5,6,1,1,1,2.011889678968972,1,0,-0.17529818073082784,2,0,6,8,0,0,0,0,3,0,1
0,3,4,2,1,1,1,0.9001147270606108,0,5,-0.17529818073082784,2,0,6,6,0,0,0,1,3,0,0
0,5,1,17,1,1,2,-1.249316846628888,2,0,-0.17529818073082784,2,1,4,3,0,0,0,1,3,0,2
0,6,6,13,1,1,1,-0.13754189472052653,2,4,-0.17529818073082784,2,2,5,5,0,0,0,3,3,0,2
0,4,1,17,1,1,1,-0.5822518754838711,1,0,-0.17529818073082784,2,1,5,4,0,0,0,3,3,0,1
0,4,1,6,1,1,1,-1.0269618562472156,2,0,-0.17529818073082784,2,2,4,4,0,0,0,2,3,0,2
0,4,1,17,1,1,1,1.2707063776967313,0,0,-0.17529818073082784,2,1,6,7,0,0,0,3,3,0,0
0,9,1,13,1,1,1,-0.8046068658655434,2,5,-0.17529818073082784,2,1,4,4,0,0,0,3,3,0,2
0,10,5,15,1,1,1,-1.0269618562472156,1,1,-0.17529818073082784,2,3,5,4,0,0,0,3,3,4,1
0,10,5,18,1,0,2,-0.7304885357383193,1,5,-0.17529818073082784,2,1,4,4,0,0,0,1,3,0,1
1,2,4,13,0,1,1,0.08481309566114575,1,0,-0.17529818073082784,2,0,5,5,0,0,0,1,3,0,1
