FraudFound_P,PolicyNumber,Age,RepNumber,Month,MonthClaimed,DayOfWeek,Make,DayOfWeekClaimed,WeekOfMonth,WeekOfMonthClaimed
0,107,28,11,Aug,Aug,Monday,Mazda,Thursday,1,1
0,108,44,11,Nov,Apr,Sunday,Pontiac,Thursday,4,2
0,109,47,1,Jun,Oct,Thursday,Chevrolet,Thursday,1,4
0,110,40,16,Mar,Mar,Thursday,Honda,Friday,1,1
0,111,23,4,May,Sep,Tuesday,Toyota,Friday,2,1
0,112,31,6,May,May,Monday,Pontiac,Thursday,2,2
0,113,35,9,Nov,Dec,Thursday,Honda,Thursday,4,5
1,114,56,10,Nov,Jan,Thursday,Accura,Tuesday,4,2
0,115,50,2,Dec,Jan,Monday,Chevrolet,Wednesday,4,1
0,116,16,2,Dec,Jan,Tuesday,Honda,Wednesday,2,2
0,117,32,12,Nov,Nov,Tuesday,Pontiac,Tuesday,5,5
0,118,28,4,Aug,Aug,Monday,Pontiac,Tuesday,2,5
1,119,68,9,Nov,Dec,Monday,Mazda,Wednesday,5,1
1,120,0,7,Dec,Dec,Friday,Honda,Friday,1,3
0,121,0,8,Feb,Mar,Friday,Honda,Friday,1,3
0,122,18,12,Oct,Oct,Wednesday,Honda,Monday,2,3
0,123,30,2,Jun,Jun,Monday,Pontiac,Monday,3,3
0,124,51,1,Apr,Apr,Tuesday,Honda,Tuesday,4,4
0,125,22,6,Feb,Feb,Sunday,Toyota,Monday,2,2
0,126,26,16,Feb,Feb,Saturday,Pontiac,Monday,2,2
0,127,53,15,Jan,Mar,Saturday,Dodge,Monday,4,1
0,128,38,13,Jan,Jan,Sunday,Mazda,Tuesday,4,5
0,129,27,9,Jan,Jan,Sunday,Chevrolet,Monday,4,4
0,130,29,14,Nov,Nov,Monday,Honda,Tuesday,4,4
0,131,32,10,Jul,Jul,Friday,Pontiac,Friday,2,2
0,132,18,14,Apr,Apr,Thursday,Honda,Friday,4,4
0,133,60,6,Oct,Oct,Thursday,Pontiac,Thursday,3,4
0,134,53,12,Oct,Oct,Friday,Ford,Friday,3,3
0,135,29,16,Apr,Apr,Tuesday,Honda,Friday,1,2
0,136,29,6,Mar,Mar,Sunday,Pontiac,Monday,2,2
0,137,41,9,Mar,Mar,Monday,Toyota,Tuesday,2,4
0,138,29,9,Feb,Mar,Monday,Toyota,Wednesday,4,1
0,139,42,2,Dec,Jan,Wednesday,Mercury,Thursday,4,1
0,140,34,9,Oct,Feb,Friday,Toyota,Friday,5,1
0,141,51,11,Jul,Jul,Monday,Honda,Tuesday,3,3
0,142,32,3,Jun,Jul,Monday,Pontiac,Tuesday,4,1
0,143,52,10,Feb,Mar,Monday,Chevrolet,Friday,5,1
0,144,61,8,Feb,Feb,Thursday,Toyota,Friday,3,3
0,145,25,1,Feb,Feb,Wednesday,Toyota,Friday,3,4
0,146,41,6,Nov,Nov,Thursday,Mazda,Friday,1,1
0,147,33,10,Sep,Sep,Saturday,Mazda,Tuesday,3,3
1,148,39,1,Dec,May,Monday,Toyota,Tuesday,1,3
0,149,30,13,Jun,Jun,Tuesday,Accura,Thursday,1,2
0,150,50,15,May,May,Monday,Mazda,Monday,4,4
0,151,31,8,Jan,Jan,Monday,Pontiac,Friday,2,2
0,152,23,8,Jan,Jan,Tuesday,Pontiac,Tuesday,2,2
0,153,31,10,Jan,Jan,Tuesday,Pontiac,Friday,2,2
0,154,50,2,Sep,Oct,Tuesday,Honda,Monday,4,1
0,155,33,8,Jan,Jan,Saturday,Honda,Monday,5,5
0,156,30,6,Jan,Feb,Sunday,Accura,Tuesday,5,1
0,157,44,13,Jan,Feb,Monday,Mazda,Thursday,5,1
0,158,46,13,Jan,Feb,Wednesday,Chevrolet,Tuesday,4,4
0,159,31,11,Jan,Feb,Saturday,Honda,Wednesday,5,1
0,160,48,5,Jan,Jan,Friday,Honda,Friday,5,5
1,161,33,12,Dec,Jan,Friday,Chevrolet,Friday,2,2
0,162,0,3,Jan,Jan,Tuesday,Honda,Wednesday,4,4
0,163,37,5,Jan,Jan,Friday,Chevrolet,Wednesday,4,4
0,164,43,3,Jan,Jan,Friday,Toyota,Thursday,4,4
0,165,32,14,Jan,Jan,Wednesday,Toyota,Monday,2,4
0,166,57,4,Jan,Jan,Thursday,Toyota,Thursday,2,2
0,167,65,8,Jan,Jan,Friday,Honda,Monday,3,3
0,168,27,12,Oct,Oct,Saturday,Toyota,Monday,2,2
0,169,42,6,May,Jul,Friday,Nisson,Wednesday,4,2
0,170,57,7,May,May,Thursday,Honda,Monday,3,4
0,171,32,2,Mar,Mar,Friday,Pontiac,Wednesday,4,5
0,172,29,7,Mar,Mar,Saturday,Mazda,Monday,1,3
0,173,36,2,Feb,Feb,Monday,VW,Tuesday,2,4
0,174,28,2,Feb,Feb,Monday,Toyota,Monday,2,2
0,175,32,14,Feb,Feb,Monday,Honda,Tuesday,1,2
0,176,33,1,Feb,Feb,Sunday,Chevrolet,Thursday,1,2
0,177,37,1,Feb,Feb,Tuesday,Saab,Wednesday,2,2
0,178,26,16,Jan,Feb,Tuesday,Honda,Wednesday,5,1
0,179,53,5,Jan,Jan,Sunday,Chevrolet,Wednesday,3,3
0,180,53,12,Jan,Jan,Saturday,Mercury,Tuesday,3,3
0,181,74,8,Jan,Jan,Monday,Ford,Tuesday,3,3
0,182,50,3,Jun,Jul,Tuesday,Pontiac,Thursday,3,4
0,183,27,3,Jun,Jun,Thursday,Mazda,Friday,2,2
0,184,48,7,Dec,Feb,Sunday,Toyota,Tuesday,2,1
0,185,55,2,Jan,Jan,Sunday,Chevrolet,Tuesday,1,1
0,186,48,10,Jan,Jan,Sunday,Pontiac,Wednesday,1,1
0,187,0,8,Jan,Jan,Monday,Honda,Wednesday,1,2
0,188,54,10,Dec,Jan,Thursday,Pontiac,Friday,5,2
0,189,36,14,Jan,Jan,Saturday,Chevrolet,Monday,1,1
1,190,43,10,Dec,Jan,Monday,Mazda,Monday,2,1
0,191,41,1,Dec,Jan,Friday,Mazda,Tuesday,5,1
0,192,48,6,Feb,Feb,Tuesday,Toyota,Wednesday,4,4
1,193,26,14,Dec,Jan,Tuesday,Chevrolet,Monday,3,2
0,194,43,1,Feb,Feb,Sunday,Toyota,Monday,2,3
1,195,39,13,Dec,Jan,Thursday,Honda,Monday,3,1
0,196,49,4,Feb,Feb,Friday,Chevrolet,Wednesday,1,2
0,197,37,14,Feb,Oct,Saturday,Honda,Monday,1,3
0,198,36,1,Aug,Sep,Wednesday,Mazda,Thursday,1,2
0,199,52,4,Mar,Mar,Sunday,Pontiac,Friday,1,2
0,200,29,16,Dec,Jan,Saturday,Pontiac,Monday,4,2
0,201,38,10,Dec,Jan,Friday,Mazda,Monday,4,1
0,202,34,2,Dec,Jan,Monday,Mazda,Tuesday,4,1
0,203,0,14,Dec,Jan,Monday,Honda,Friday,4,2
0,204,41,6,Sep,Sep,Monday,Honda,Tuesday,1,1
1,205,41,16,Dec,Jan,Friday,Pontiac,Tuesday,3,3
0,206,64,15,Apr,May,Saturday,Pontiac,Tuesday,4,1
1,207,27,11,Dec,Jan,Saturday,Pontiac,Monday,3,2
0,208,25,5,Sep,Oct,Friday,Mazda,Monday,5,1
0,209,21,5,Oct,Oct,Saturday,Toyota,Tuesday,1,2
0,210,31,16,Dec,Mar,Tuesday,Pontiac,Wednesday,4,3
0,211,39,3,Apr,Apr,Monday,Pontiac,Monday,3,3
0,212,37,1,Feb,Feb,Wednesday,Honda,Monday,4,5
0,213,41,11,Feb,Feb,Monday,Accura,Tuesday,3,3
0,214,37,16,Aug,Aug,Thursday,Pontiac,Wednesday,2,3
0,215,28,7,Jun,Jun,Saturday,Mazda,Monday,4,4
0,216,57,12,Jun,Sep,Friday,Chevrolet,Monday,1,2
0,217,61,9,Jun,Jun,Friday,Toyota,Tuesday,1,3
0,218,69,3,Jan,Jan,Tuesday,Mazda,Tuesday,5,5
0,219,67,11,Jan,Feb,Tuesday,Honda,Thursday,5,2
0,220,52,1,Feb,Feb,Thursday,Chevrolet,Monday,1,1
0,221,23,15,Jul,Sep,Monday,Toyota,Thursday,4,1
0,222,38,2,Jun,Jun,Wednesday,Pontiac,Friday,4,4
0,223,32,13,Jan,Jan,Monday,Toyota,Wednesday,2,2
0,224,26,9,Jan,Jan,Monday,Honda,Tuesday,2,2
0,225,57,4,Jan,Jan,Monday,Toyota,Tuesday,2,2
0,226,29,2,Nov,Nov,Monday,Pontiac,Monday,3,3
0,227,26,5,Oct,Oct,Tuesday,Saab,Wednesday,3,4
0,228,30,14,Oct,Oct,Tuesday,VW,Tuesday,3,5
1,229,41,1,Dec,Jan,Thursday,Pontiac,Wednesday,4,1
0,230,65,14,Oct,Oct,Wednesday,Pontiac,Thursday,4,4
0,231,33,13,Jun,Jun,Monday,Pontiac,Thursday,2,4
0,232,44,10,Apr,Apr,Friday,Mazda,Friday,2,2
1,233,26,12,Dec,Jan,Thursday,Chevrolet,Monday,4,1
0,234,32,5,Mar,Apr,Tuesday,VW,Tuesday,5,1
0,235,29,16,Mar,Mar,Thursday,Mercury,Friday,4,4
1,236,26,16,Dec,Jan,Thursday,Chevrolet,Tuesday,4,2
0,237,37,3,Mar,Mar,Wednesday,Pontiac,Thursday,1,1
0,238,33,11,Mar,Mar,Thursday,Pontiac,Friday,1,1
0,239,54,7,Jan,Jan,Monday,Pontiac,Saturday,3,4
0,240,26,5,Jan,Jan,Monday,Mazda,Tuesday,3,3
0,241,32,16,Jan,Jan,Sunday,Chevrolet,Tuesday,3,3
0,242,25,1,Jan,Jan,Saturday,Mazda,Monday,3,3
0,243,23,12,Aug,Jan,Wednesday,Mazda,Wednesday,3,3
0,244,0,7,Aug,Mar,Monday,Honda,Thursday,4,3
0,245,31,9,Feb,Mar,Saturday,Pontiac,Monday,3,4
0,246,0,3,Dec,Jan,Friday,Honda,Tuesday,4,1
0,247,42,14,Feb,Feb,Thursday,Ford,Tuesday,3,5
0,248,42,11,Feb,Feb,Thursday,Accura,Friday,3,3
0,249,32,16,Feb,Feb,Friday,Toyota,Monday,3,3
0,250,51,1,Feb,Feb,Wednesday,Accura,Thursday,2,2
0,251,19,12,Jan,Jan,Monday,Honda,Tuesday,3,3
0,252,26,10,Jan,Jan,Monday,Pontiac,Tuesday,3,4
0,253,29,3,Jan,Jan,Monday,Pontiac,Monday,3,4
0,254,29,15,Jan,Jan,Wednesday,Pontiac,Thursday,3,3
0,255,29,12,Dec,Jan,Friday,Mazda,Tuesday,5,1
0,256,44,9,Dec,Jan,Friday,Pontiac,Monday,5,1
0,257,49,5,Dec,Jan,Saturday,VW,Wednesday,5,1
0,258,47,12,Dec,Jan,Saturday,Toyota,Tuesday,5,1
0,259,50,16,Aug,Aug,Thursday,Mazda,Thursday,3,3
0,260,50,10,Jun,Jun,Tuesday,Pontiac,Tuesday,5,5
0,261,44,9,Jun,Jun,Friday,Pontiac,Friday,1,1
0,262,42,1,May,May,Sunday,Accura,Monday,2,2
0,263,49,3,Apr,Apr,Thursday,Pontiac,Friday,5,5
0,264,34,7,Apr,Apr,Saturday,Toyota,Tuesday,1,1
0,265,51,16,Feb,Aug,Monday,Pontiac,Monday,4,5
0,266,26,5,Dec,Jan,Monday,VW,Monday,4,1
0,267,39,4,Feb,Feb,Saturday,Pontiac,Saturday,1,2
0,268,30,3,Feb,Feb,Monday,Chevrolet,Tuesday,2,2
0,269,0,5,Feb,Feb,Monday,Honda,Monday,2,3
0,270,47,9,Feb,Feb,Tuesday,Honda,Monday,1,2
0,271,33,2,Jan,Jan,Friday,Chevrolet,Wednesday,2,2
0,272,31,6,Jan,Jan,Saturday,Pontiac,Monday,2,2
0,273,50,7,Jan,Jan,Monday,Toyota,Monday,2,2
0,274,78,11,Jan,Jan,Sunday,Chevrolet,Wednesday,2,3
0,275,41,9,Jan,Jan,Sunday,Honda,Friday,2,3
0,276,39,11,Jan,Jan,Tuesday,Honda,Friday,1,3
0,277,33,10,Jan,Jan,Wednesday,Toyota,Monday,1,2
0,278,0,16,Jan,Jan,Thursday,Honda,Tuesday,1,2
0,279,48,1,Dec,Dec,Monday,Pontiac,Monday,2,4
0,280,0,12,Dec,Jan,Wednesday,Honda,Monday,3,1
0,281,0,11,Dec,Feb,Sunday,Honda,Wednesday,2,1
0,282,30,4,Dec,Jan,Tuesday,Pontiac,Friday,4,4
0,283,0,10,Mar,Jan,Saturday,Honda,Wednesday,3,2
0,284,38,4,Dec,Jan,Tuesday,Pontiac,Thursday,4,2
0,285,28,7,Dec,Jan,Tuesday,Toyota,Tuesday,5,2
0,286,33,8,Dec,Jan,Tuesday,Honda,Tuesday,5,1
0,287,38,1,Jan,Jan,Monday,Mazda,Monday,1,1
0,288,0,11,Jan,Jan,Tuesday,Honda,Friday,1,2
0,289,31,15,Jan,Jan,Tuesday,Pontiac,Tuesday,1,1
0,290,36,1,Jan,Jan,Thursday,Chevrolet,Friday,1,2
0,291,27,2,Jan,Jan,Wednesday,Pontiac,Thursday,1,2
0,292,60,1,Jan,Jan,Saturday,Toyota,Wednesday,2,2
0,293,72,2,Jan,Jan,Sunday,Honda,Tuesday,2,2
0,294,44,5,Jan,Jan,Sunday,Ford,Wednesday,2,2
0,295,0,11,Jan,Jan,Monday,Honda,Monday,3,3
0,296,77,10,Jan,Jan,Monday,Pontiac,Wednesday,1,4
0,297,40,15,Jan,Jan,Tuesday,Honda,Monday,3,4
1,298,43,1,Dec,Jan,Wednesday,Pontiac,Wednesday,5,1
0,299,33,14,Jan,Jan,Saturday,Honda,Monday,3,4
0,300,36,2,Jan,Mar,Tuesday,Chevrolet,Wednesday,1,2
0,301,21,7,Dec,Jan,Thursday,Pontiac,Monday,5,3
0,302,21,2,Dec,Jan,Friday,Honda,Tuesday,5,1
0,303,33,9,Dec,Jan,Tuesday,Pontiac,Monday,3,5
0,304,75,1,Feb,Feb,Saturday,Pontiac,Monday,1,3
0,305,34,7,May,May,Sunday,Toyota,Monday,2,2
0,306,31,9,Apr,May,Wednesday,VW,Monday,4,5
0,307,31,2,Apr,Apr,Tuesday,Honda,Tuesday,1,1
0,308,47,5,Apr,Apr,Monday,Pontiac,Monday,1,1
1,309,46,7,Dec,Jan,Friday,Pontiac,Tuesday,5,2
1,310,0,6,Dec,Jan,Friday,Honda,Tuesday,5,1
0,311,35,10,Oct,Oct,Monday,Honda,Monday,1,1
0,312,31,11,Oct,Oct,Tuesday,Pontiac,Friday,1,2
0,313,33,13,Mar,Mar,Friday,Mercury,Friday,2,2
0,314,35,15,Apr,Apr,Wednesday,Honda,Thursday,1,2
0,315,45,4,Mar,Apr,Wednesday,Pontiac,Tuesday,5,1
1,316,0,14,Dec,Jan,Friday,Honda,Monday,5,2
0,317,50,12,May,Jun,Thursday,Accura,Monday,4,2
1,318,0,16,Jan,Jan,Saturday,Honda,Wednesday,1,1
0,319,42,14,May,May,Thursday,Pontiac,Thursday,4,4
0,320,32,2,Apr,Apr,Sunday,Mazda,Monday,4,4
0,321,49,2,Mar,Mar,Wednesday,Ford,Thursday,3,3
0,322,53,4,Mar,Mar,Wednesday,Saturn,Monday,1,1
0,323,32,15,Apr,Apr,Thursday,Chevrolet,Thursday,3,3
0,324,52,8,Apr,Apr,Wednesday,Honda,Wednesday,2,4
0,325,41,1,Jun,Jun,Tuesday,Honda,Thursday,2,4
0,326,36,1,Jun,Jun,Monday,Mazda,Tuesday,2,2
0,327,46,7,Nov,Nov,Friday,Honda,Tuesday,2,3
0,328,32,13,Jul,Jul,Thursday,Honda,Friday,3,3
0,329,32,12,Jun,Jun,Friday,Toyota,Tuesday,1,2
0,330,31,3,Mar,Mar,Thursday,Chevrolet,Friday,3,3
0,331,43,5,Nov,Nov,Friday,Toyota,Monday,1,1
0,332,30,1,Nov,Nov,Friday,Pontiac,Tuesday,1,2
0,333,60,8,Jun,Jun,Wednesday,Toyota,Thursday,4,4
0,334,55,11,Jun,Jun,Wednesday,VW,Friday,4,4
0,335,27,9,Mar,Mar,Thursday,Honda,Thursday,5,5
0,336,29,14,Aug,Aug,Tuesday,Toyota,Monday,4,5
0,337,25,9,Aug,Aug,Saturday,Honda,Wednesday,2,3
0,338,38,11,Apr,Apr,Monday,Toyota,Monday,3,3
0,339,26,12,Apr,Apr,Monday,Toyota,Tuesday,3,4
0,340,56,6,Feb,Mar,Wednesday,Pontiac,Tuesday,4,1
0,341,47,3,Feb,Feb,Tuesday,Pontiac,Friday,4,4
0,342,29,4,Sep,Oct,Sunday,Toyota,Tuesday,4,2
0,343,31,4,Jul,Jul,Tuesday,Honda,Tuesday,2,2
0,344,46,13,Jan,Jan,Thursday,Honda,Friday,4,4
0,345,60,5,Sep,Sep,Monday,Chevrolet,Wednesday,4,4
0,346,30,4,Sep,Sep,Monday,Pontiac,Thursday,3,4
0,347,51,10,Aug,Sep,Tuesday,Ford,Thursday,5,1
0,348,80,5,Mar,Mar,Friday,Chevrolet,Wednesday,3,4
0,349,0,6,Mar,Mar,Saturday,Honda,Thursday,3,4
0,350,52,1,Nov,Nov,Friday,VW,Friday,1,2
0,351,36,6,Nov,Nov,Friday,Toyota,Friday,1,1
0,352,67,7,Sep,Oct,Thursday,Honda,Wednesday,5,1
0,353,58,15,Sep,Oct,Sunday,Pontiac,Wednesday,1,2
0,354,31,11,Mar,Mar,Wednesday,Toyota,Monday,2,2
0,355,50,10,Mar,Mar,Tuesday,Chevrolet,Tuesday,2,2
0,356,50,7,Mar,Mar,Tuesday,Pontiac,Monday,2,3
0,357,55,8,Mar,Mar,Wednesday,Chevrolet,Wednesday,2,2
0,358,36,14,Mar,Mar,Friday,Toyota,Sunday,1,1
0,359,31,8,Aug,Aug,Tuesday,VW,Wednesday,1,1
0,360,23,13,Sep,Sep,Monday,Honda,Thursday,1,2
0,361,34,14,Jan,Jan,Monday,Mazda,Tuesday,1,1
0,362,30,1,May,May,Saturday,Pontiac,Monday,3,3
0,363,45,8,Feb,Feb,Friday,Toyota,Friday,2,2
0,364,37,11,Jun,Oct,Monday,Pontiac,Monday,3,1
0,365,35,3,Jun,Jun,Monday,Toyota,Wednesday,3,5
0,366,30,14,Apr,Apr,Wednesday,Chevrolet,Monday,1,2
1,367,50,8,Jan,Jan,Monday,Pontiac,Wednesday,1,1
0,368,47,13,May,Jun,Saturday,Honda,Wednesday,5,3
0,369,26,6,Jun,Jun,Thursday,Honda,Friday,3,3
0,370,59,8,Jun,Jun,Monday,Honda,Thursday,2,3
0,371,26,14,Jan,Feb,Monday,Mazda,Wednesday,5,1
0,372,51,12,Mar,Apr,Sunday,Toyota,Friday,4,2
0,373,42,12,Sep,Sep,Tuesday,Chevrolet,Wednesday,2,3
0,374,37,14,May,May,Friday,Mazda,Friday,4,4
0,375,31,10,Mar,Mar,Saturday,Honda,Monday,3,3
0,376,31,3,Mar,Mar,Friday,Honda,Monday,3,4
0,377,35,12,Jul,Jul,Friday,Mazda,Monday,2,2
0,378,28,12,Jul,Aug,Sunday,Toyota,Wednesday,2,5
0,379,26,8,Jul,Jul,Tuesday,Chevrolet,Tuesday,1,1
0,380,31,3,Aug,Aug,Tuesday,Honda,Thursday,3,3
1,381,61,6,Jan,Jan,Monday,Ford,Monday,1,2
0,382,35,4,Feb,Feb,Wednesday,Honda,Friday,3,4
0,383,31,10,Nov,Nov,Sunday,Chevrolet,Monday,1,1
0,384,69,11,Oct,Oct,Friday,VW,Friday,5,5
0,385,40,7,Oct,Nov,Friday,Honda,Monday,5,2
1,386,28,7,Jan,Jan,Tuesday,Honda,Wednesday,1,4
0,387,44,12,Jan,Mar,Tuesday,VW,Wednesday,1,4
0,388,77,10,Feb,Feb,Sunday,Toyota,Monday,4,4
0,389,0,15,Jan,Jan,Tuesday,Honda,Tuesday,1,1
0,390,29,10,Feb,Feb,Saturday,Pontiac,Monday,4,4
0,391,53,8,Jun,Jul,Wednesday,Chevrolet,Saturday,5,1
0,392,29,11,May,May,Friday,Ford,Monday,1,2
0,393,25,15,Oct,Oct,Thursday,Chevrolet,Tuesday,3,4
0,394,22,6,Jul,Jul,Thursday,Chevrolet,Friday,2,2
0,395,28,8,Apr,Apr,Wednesday,Mazda,Thursday,3,4
0,396,22,10,Nov,Nov,Tuesday,Honda,Wednesday,4,4
0,397,34,7,Aug,Aug,Tuesday,Pontiac,Friday,2,2
0,398,30,5,Aug,Aug,Monday,Toyota,Thursday,2,2
